title
List of Top Companies Operating in the Lithium-Ion Battery Manufacturing Industry Worldwide
1. A123 Systems LLC
2. Envision AESC Limited
3. LG Chem Ltd.
4. Panasonic Corporation  
"5. SAMSUNG SDI Co., Ltd.  "
6. Toshiba Corporation  
7. Amperex Technology Limited  
8. BAK Group  
"9. Blue Energy Co., Ltd."
10. BYD Company Ltd.  
"11. CBAK Energy Technology, Inc."
"12. Tianjin Lishen Battery Joint-Stock CO., LTD.  "
13. Lithion Battery Inc.  
"14. SK Innovation Co., Ltd"
"15. Hitachi, Ltd"
